Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow IAT Mean,Flow IAT Std,Packet Length Mean,Packet Length Std,Average Packet Size,Active Mean,Idle Mean,Protocol,target
2,2,0,12.0,0.0,2.0,0.0,6.0,0.0,9.0,0.0,0.0,6,0
101,2,2,12.0,12.0,33.66666666666667,56.58032638058332,6.0,0.0,7.5,0.0,0.0,6,1
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
0,2,0,12.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
53,2,2,12.0,12.0,17.666666666666664,28.005951748393286,6.0,0.0,7.5,0.0,0.0,6,1
46122,2,2,90.0,122.0,15374.0,26625.95104404724,51.4,8.763560920082657,64.25,0.0,0.0,17,0
3,2,0,12.0,0.0,3.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
20894,2,2,94.0,206.0,6964.666666666666,12056.228362690104,69.4,30.672463220289305,86.75,0.0,0.0,17,0
20857,2,2,76.0,180.0,6952.333333333334,12038.330504406887,58.8,28.48157299026864,73.5,0.0,0.0,17,0
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
109,2,2,12.0,12.0,36.33333333333333,59.475485145842505,6.0,0.0,7.5,0.0,0.0,6,1
1,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
728,4,0,129.0,0.0,242.66666666666669,415.9811694456052,35.0,17.464249196572982,43.75,0.0,0.0,6,0
151,1,2,6.0,12.0,75.5,105.35891039679558,6.0,0.0,8.0,0.0,0.0,6,0
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
115342989,42,37,2581.0,11050.0,1478756.2692307688,3568304.6755711064,170.3875,443.44732662103377,172.54430379746842,30970.272727272728,10192542.090909092,6,0
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
1,2,0,37.0,0.0,1.0,0.0,22.666666666666664,14.433756729740644,34.0,0.0,0.0,6,0
1,2,0,30.0,0.0,1.0,0.0,18.0,10.392304845413264,27.0,0.0,0.0,6,0
2,2,0,12.0,0.0,2.0,0.0,6.0,0.0,9.0,0.0,0.0,6,0
54936,1,1,6.0,6.0,54936.0,0.0,6.0,0.0,9.0,0.0,0.0,6,0
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
48,2,0,12.0,0.0,48.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
93741135,42,50,3758.0,8666.0,1030122.3626373622,7041604.254211151,133.59139784946234,272.97787123880255,135.04347826086956,585614.5,46238030.0,6,0
55447008,12,6,72.0,36.0,3261588.7058823523,6434870.66615704,6.0,0.0,6.333333333333332,443133.5,13418618.25,6,1
2,2,0,12.0,0.0,2.0,0.0,6.0,0.0,9.0,0.0,0.0,6,0
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
20738,2,2,60.0,116.0,6912.666666666666,11967.893730031752,41.2,15.336231610144653,51.5,0.0,0.0,17,0
488,4,0,123.0,0.0,162.66666666666669,278.2846264768022,33.8,19.979989989987484,42.25,0.0,0.0,6,0
21315,2,2,90.0,146.0,7105.0,12301.890870918993,56.2,15.336231610144653,70.25,0.0,0.0,17,0
51115599,8,4,48.0,24.0,4646872.636363637,9082505.864888834,6.0,0.0,6.5,37.33333333333333,17038468.666666668,6,1
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
51383482,14,12,84.0,72.0,2055339.28,3984639.916339362,6.0,0.0,6.230769230769233,1245642.75,9280166.0,6,1
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
206159,1,2,0.0,0.0,103079.5,145773.5984755127,0.0,0.0,0.0,0.0,0.0,6,0
99,2,2,12.0,12.0,33.0,27.87471972953271,6.0,0.0,7.5,0.0,0.0,6,1
119492499,16,0,0.0,0.0,7966166.6000000015,14669045.014331589,0.0,0.0,0.0,393.2,23898106.0,0,0
0,2,0,12.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
0,2,0,12.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
117387914,28,27,2266.0,11224.0,2173850.25925926,11170177.916442746,240.89285714285708,510.02519290972015,245.27272727272728,86475.0,58599939.5,6,0
115746003,40,34,2465.0,1034.0,1585561.6849315066,3666152.3379022432,46.65333333333332,127.2798038514692,47.28378378378378,45628.727272727265,10184875.272727272,6,0
2,2,0,12.0,0.0,2.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
3,2,0,12.0,0.0,3.0,0.0,6.0,0.0,9.0,0.0,0.0,6,0
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
51,1,2,0.0,0.0,25.5,34.648232278140824,0.0,0.0,0.0,0.0,0.0,6,0
44302280,8,4,48.0,24.0,4027480.000000001,6979608.1912346175,6.0,0.0,6.5,29.0,14767364.333333336,6,1
77,2,2,12.0,12.0,25.666666666666664,42.72391992003231,6.0,0.0,7.5,0.0,0.0,6,1
174,2,2,12.0,12.0,58.0,98.726896031426,6.0,0.0,7.5,0.0,0.0,6,1
56225136,10,2,60.0,12.0,5111376.0,7285447.796839038,6.0,0.0,6.5,37.75,14056246.0,6,1
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
21153,2,2,84.0,400.0,7051.0,12208.360127388118,105.2,86.54016408581623,131.5,0.0,0.0,17,0
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
7212347,2,8,0.0,0.0,801371.8888888889,1429706.7726917332,0.0,0.0,0.0,0.0,0.0,6,0
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
87791282,25,22,902.0,1826.0,1908506.1304347827,3945123.0747251394,56.83333333333332,202.0584846168895,58.04255319148936,24612.75,10198606.0,6,0
102,2,2,12.0,12.0,34.0,56.29387178015028,6.0,0.0,7.5,0.0,0.0,6,1
3,2,0,12.0,0.0,3.0,0.0,6.0,0.0,9.0,0.0,0.0,6,0
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
2,2,0,12.0,0.0,2.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
112,2,2,12.0,12.0,37.33333333333333,62.93117934166921,6.0,0.0,7.5,0.0,0.0,6,1
1927337,32,25,7620.0,30720.0,34416.73214285713,90375.2873402682,661.0344827586208,747.7675069191719,672.6315789473684,0.0,0.0,6,0
1,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
53,2,2,12.0,12.0,17.666666666666664,28.867513459481287,6.0,0.0,7.5,0.0,0.0,6,1
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
116270092,41,34,1868.0,7984.0,1571217.4594594594,3625260.279029753,129.63157894736838,399.0441526817222,131.36,122870.1818181818,10140644.363636363,6,0
2,2,0,12.0,0.0,2.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
299,1,2,6.0,12.0,149.5,207.1822868876584,6.0,0.0,8.0,0.0,0.0,6,0
180726,23,25,10880.0,14380.0,3845.234042553192,10186.600967453289,515.5102040816327,912.8829361435348,526.25,0.0,0.0,6,0
99,2,2,12.0,12.0,33.0,27.784887978899608,6.0,0.0,7.5,0.0,0.0,6,1
50347288,26,28,9228.0,6974.0,949948.8301886794,6877342.1399858575,294.5818181818182,554.982138214712,300.037037037037,274242.0,50072952.0,6,0
66,2,2,12.0,12.0,22.0,37.242448899072144,6.0,0.0,7.5,0.0,0.0,6,1
47,2,0,12.0,0.0,47.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
51,2,2,12.0,12.0,17.0,29.44486372867091,6.0,0.0,7.5,0.0,0.0,6,1
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
83,1,2,0.0,0.0,41.5,55.86143571373726,0.0,0.0,0.0,0.0,0.0,6,0
1,2,0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,0.0,6,1
20699,2,2,80.0,202.0,6899.666666666666,11947.109162192057,64.4,33.411076007815126,80.5,0.0,0.0,17,0
20723,2,2,86.0,194.0,6907.666666666666,11959.23347599391,64.6,29.57701810527897,80.75,0.0,0.0,17,0
